Instance_name	Avg_power	Pin_x	Pin_y	VDD_drop	Net_name
ctmTdsLR_1_1509	6.3883e-06	8.004	20.1	0.87848	VDD
ctmTdsLR_1_8032	1.0515e-05	7.967	18.9	0.878395	VDD
U2562	1.44127e-05	11.297	44.1	0.878634	VDD
U2563	1.10862e-05	19.289	41.7	0.878585	VDD
U2566	1.6642e-05	24.395	47.7	0.878667	VDD
U2570	1.1915e-05	26.985	28.5	0.87803	VDD
U2571	7.25711e-06	34.348	4.544	0.878845	VDD
U2575	5.38866e-06	26.282	36.9	0.878695	VDD
U2578	1.6743e-05	19.363	35.7	0.87849	VDD
ctmTdsLR_1_1677	1.07242e-05	11.297	30.9	0.878325	VDD
ctmTdsLR_1_1575	9.25734e-06	11.741	23.7	0.878176	VDD
ctmTdsLR_1_1527	1.32374e-05	7.597	15.3	0.878746	VDD
ctmTdsLR_1_1703	5.13702e-06	15.959	40.5	0.878432	VDD
ctmTdsLR_1_1828	1.41705e-05	16.588	17.7	0.878467	VDD
ctmTdsLR_1_1727	2.08754e-05	37.937	6.9	0.878611	VDD
ctmTdsLR_1_7979	6.22229e-06	17.254	45.3	0.878712	VDD
U2600	9.80549e-06	14.923	22.5	0.878291	VDD
U2603	8.37233e-06	8.004	36.9	0.878714	VDD
U2607	1.08735e-05	28.872	42.9	0.87871	VDD
U2609	2.91401e-05	28.65	38.1	0.878393	VDD
U2611	1.62266e-05	14.701	14.1	0.878623	VDD
U2612	4.31215e-06	22.878	14.1	0.878496	VDD
ctmTdsLR_1_8487	6.41605e-06	21.324	8.1	0.878302	VDD
ctmTdsLR_2_8488	1.00918e-05	20.843	8.1	0.878371	VDD
U2616	4.14212e-06	6.302	15.3	0.878705	VDD
U2620	1.65816e-05	3.749	4.5	0.879111	VDD
U2621	1.64538e-05	37.678	32.1	0.878126	VDD
U2622	3.31836e-06	33.127	33.3	0.878841	VDD
U2624	9.2913e-06	33.0155	33.3	0.878841	VDD
U2626	2.04248e-05	40.157	45.3	0.87905	VDD
U2632	8.84558e-06	42.451	42.9	0.878991	VDD
U2633	1.13166e-05	47.705	41.7	0.879053	VDD
U2634	1.18458e-05	43.117	40.5	0.878652	VDD
ctmTdsLR_1_8135	6.21413e-06	15.256	6.9	0.878618	VDD
U2639	1.6138e-05	10.113	9.3	0.878711	VDD
ctmTdsLR_1_8075	1.08951e-05	2.01	12.9	0.87849	VDD
ctmTdsLR_1_8489	2.06072e-05	48.778	20.1	0.878788	VDD
ZCTSBUF_1537_7126	9.3808e-05	17.439	39.3	0.877812	VDD
U2649	1.65922e-05	35.236	29.7	0.878283	VDD
U2655	4.46971e-06	35.754	11.7	0.87847	VDD
U2656	1.62818e-05	31.756	33.3	0.878725	VDD
